,review,Total Star,Menu,Star_opt,Output
184,넘 맛있어요 ㅜㅠㅜㅜ 여기는 브랜드를 넘어서 이 지점이 치킨을 잘하는 것 같아요 배달도 빨리오고 항상 시켜먹을 때마다 진짜 맛있게 잘 먹고있습니다 매운게 땡기면 갈릭반 핫양념반먹고 이번엔 매운건 못먹을듯하여 갈릭반양념반먹었어요,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(갈릭),두마리 치킨2 선택 택 1(양념),음료 선택(콜라 1.25L 추가))","
맛
★
5
양
★
5
배달
★
5
",3.21
185,맛있게 잘 먹었습니다,★★★★★,단짠치킨 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
186,제가 좋아하는 양념맛이라서 자주 시켜먹어요ㅎㅎ,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(양념),두마리 치킨2 선택 택 1(갈릭))","
맛
★
5
양
★
5
배달
★
5
",4.6
187,할인할때마다 잘 먹고있어요,★★★★★,오곡 양념 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.39
188,수준이 전문가 수준입니다,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.2
189,오랜만에 시켜먹았는데 역시 최고 배달도 엄청 빠르고 맛있게 잘 먹었습니당,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
190,매콤하고 맛있어요 배달도 빨라요,★★★★★,맵부심양념/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
191,엄청 따뜻하게 배달됐어요두가지 맛 조합이 좋아서 자주 먹고 있습니다또래오래 최고,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
192,너무 맛있게 먹었습니다 감사합니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(스틱（다리）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
193,두마리로 시켜봤는데 실컷먹고 많이 남았네요 맛있게 먹었음 ㅎㅎ,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(핫양념),사이드 추가(바삭한근위튀김))","
맛
★
5
양
★
5
배달
★
5
",4.4
