,review,Total Star,Menu,Star_opt,Output
249,비오는날인데 배달이 이리 일찍올수있는건가요ㅎ맛도 맛있게 먹고 좋습니다꾸준히 시키는 단골집이예요ㅎ,★★★★★,후라이드반＋양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
4
배달
★
5
",4.8
250,미래의 나에게순살은 또래오래,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(양념))","
맛
★
5
양
★
5
배달
★
5
",2.4
251,시킬때 마다 만족합니다미니핫도그도 나름 괜찮네요,★★★★★,단짠치킨 순살/1(사이드 추가(미니핫도그)),"
맛
★
5
양
★
5
배달
★
5
",4.4
252,이것맛 먹어요 최곱니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
253,맛있게 잘 먹었어요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
254,배달이 시작되었다는 알림에 기다리고있다가 뭔가 이상해서 나가보니 삼십분전에 도착해있는 ㅠㅠ 문자알림을 체크못한 제잘못이에요 다른분들은 배달시간알림 먼저 믿지마시고 문자알림 무음 바로 벨소리로 크기 켜놓으시길 부디 여러분들은 따뜻하게 드셔요  맛은 너무 맛있어요 증맬루 또 시킬때는 제가 문자함만 보고있을겁니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",1.21
255,잘 먹었습니다,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(갈릭))","
맛
★
5
양
★
5
배달
★
5
",5.0
256,맛있게 잘먹었습니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
257,늘 맛있게 먹습니다  빠른배달과 맛있는 치킨은 말안해도 아시죠 ㅎㅎㅎ,★★★★★,후라이드반＋핫양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",4.79
258,역시 또래오래 떡마저 맛있어요,★★★★★,단짠치킨 스틱/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
259,윙봉 넘흐 맛있게잘먹었습니다,★★★★★,맵부심후라이드 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
260,처음 시켜봤는데 적당히 맵고 맛있었어욥 떡도 맛이쏘요,★★★★★,고추단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",3.42
261,갈릭은 아이들이 핫은 어른들이 같이 먹기 좋아요 서비스 헤시브라운도 맛있게 잘 먹었어요 ,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
262,앤젤치킨 처음 먹어봤는데 정말 맛있어요양파도 양 많고 소스도 아주 맛있네요,★★★★★,엔젤치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
263,깜빡하고 사진을 못찍어서 예전에먹은 후라이드사진으로 올립니다여기는 믿고 먹는곳이라 안심하고 맛있게 먹었습니다배달기사님도 빨리 와주셔서 좋았어요,★★★★★,오곡 양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
264,넘 맛나게 잘 먹었습니다 ,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
265,양념치킨은 또래오래가 맛잇어요,★★★★★,오곡 양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.23
266,또래오래 사랑해,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(콤보（날개＋다리）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
267,맛있게 잘 먹었어요,★★★★★,후라이드반＋양념반/1(옵션변경(콤보（날개＋다리）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
268,잘먹었습니다,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(양념))","
맛
★
5
양
★
5
배달
★
5
",5.0
269,맛있게 잘먹었으요,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
270,배달 빠르고 맛있게 잘 먹었습니다,★★★★★,맵부심후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
271,아주 맛있게 잘 먹었습니다,★★★★★,단짠치킨 콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
272,양도 많고 진짜 맛있어용  추천,★★★★★,콘듀치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
273,맛있게 잘먹었습니다,★★★★★,단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
274,맛있게 잘먹었습니다,★★★★★,단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
275,맛있게 잘 먹었어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
4
배달
★
5
",4.8
276,갈릭은 그냥여기서드세요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.18
277,배달도 빠르고 맛있네요,★★★★★,코코순살 치킨/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
278,핫양념 진짜 맛있게 맵네요 재구매 의사 백퍼입니다 배달은 정말분 꽉채워왔지만 비도오고 요즘 이렇게 착한배달비도 흔치않으니 괜찮았어요 뭣보다 김말이도 치킨도 대박맛있었어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(콤보（날개＋다리）)),"
맛
★
5
양
★
5
배달
★
3
",4.01
279,감사히 잘먹엇급니다 단짠 진짜 달고 짜고 밥도둑인듯ㅋㅋㅋㅋ맛잇엇서요,★★★★★,단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
280,맛도 맛있고 양도 많고  배달이 엄청 빠르네요  맛있게 잘 먹었습니다,★★★★★,단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
281,오늘 단짠 후라이드 양념 핫양념 갈릭 다 시켜서 먹어봤는데 저는 단짠과 갈릭이 제일 맛있었어요  따뜻하게 맛있게 잘먹었습니당,★★★★★,단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
282,너무 맛있어용 ㅠㅠㅠㅠ해시브라운도 맛있네요,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
283,배달도 항상 빠르구 언제나 맛있어요 ,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.81
284,조금 일찍시켜서인지 빨리왔고 맛있게 먹었습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
285,바삭하고 예상 시간보다도 일찍 도착했어요 바삭한거 좋아하는데 완전 바삭바삭해서 좋아요 맛있어요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
286,오늘도맛있게잘먹었습니다사진은 찍는걸 깜빡해서 조각먹고 찍었네요 ㅜㅜ,★★★★★,고추단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
287,항상 맛있습니다 서비스도 감사합니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
288,항상 넘 맛있네요,★★★★★,콘듀치킨/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
289,항상 맛있습니다 서비스로 주신 떡사리도 잘 먹을게요,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
290,매콤한 후라이드 너무 맛있어요닭도 야들야들하고 핫하니 덜느끼하고 좋았어요완전 추천합니다,★★★★★,맵부심후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",4.79
291,항상 맛있게 잘 먹고 있어요,★★★★★,"오곡 후라이드 치킨/1(부위선택 택 1(한마리)),핫양념소스/1","
맛
★
5
양
★
5
배달
★
5
",4.8
292,또래오래 독산가산점꺼를 먹어야 치킨 먹고픈 마음이 해소가 됩니다다른 곳 시켰다가 또래오래 먹고싶은 마음이 더 커졌네옇ㅎㅎ이제 시킬 수 있는 날이 별로 안남아서 슬퍼요 슬픈 마음을 달래러 갈반핫반 주문하러 갑니당 총총,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",2.0
293,맛있었는데 닭이 작아진 기분,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",2.27
294,간만에 생각나서 시켰는데 배달도 생각보다 빨리오고 맛있게 잘먹었습니다,★★★★★,단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
295,맛있게 잘 먹었어요,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
296,오늘도 맛있게 잘 먹었습니다 서비스로 주신 해쉬브라운과 콜라도 정말 맛있게 잘 먹었습니다ㅎㅎ 항상 빠른 배달과 최고의 맛을 보여주셔서 감사합니다 사장님,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(후라이드)),생맥주 1000cc/2","
맛
★
5
양
★
5
배달
★
5
",5.0
297,비비큐보다 맛있어요 근데 너무 비싸ㅠㅜ,★★★★★,스모키양념 스틱/1,"
맛
★
5
양
★
5
배달
★
5
",2.67
298,항상 맛있게 잘 먹고 있습니다,★★★★★,스모키양념 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
299,원래 또래오래 치킨은 잘 안 먹었었는데 여기 이사오고 처음 주문해보곤 종종 먹게 됩니다 자부심 있게 운영하실 만 한 것 같습니다,★★★★★,단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",3.2
300,양념은 보다맛잇네요 옛날 호프집 양념치킨먹는 구수한 맛이엿음 바삭하고 굿굿,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.59
301,오늘도 넘 맛있게 먹었습니다,★★★★★,양념반＋갈릭반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
302,맛있게 잘 먹었어요,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(갈릭),두마리 치킨2 선택 택 1(핫양념))","
맛
★
5
양
★
5
배달
★
5
",4.8
303,맛있게 잘먹었습니다,★★★★★,맵부심후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
304,배달 너무빨라서 놀랐어요 따뜻하게 맛있게 잘먹었어요,★★★★★,후라이드반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
305,물가가 많이올라 치킨을 자주 먹진 못해도치킨을 먹는날은 또래오래오늘도 잘 먹었습니다,★★★★★,단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",4.59
306,잘 먹었습니다,★★★★★,오곡 양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
307,저번에 주문했을때 반반주문했는데 양념이 너무 매워서 왜 양념맛이 변했나 생각했더니 갈릭반양념반을 해야하는데갈릭반핫양념반으로 잘못주문했더라구요 오늘은 갈릭반 양념반으로 제대로 주문했네요가장 상위에 추천으로 뜨는건 갈릭반 핫 양념반이니까갈릭반 양념반으로 주문하실분은 스크롤은 아래로 내려반반메뉴까지 가셔야해요갈릭반 양념반 좋아요,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",2.02
308,늘 맛있게 먹습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.79
309,완전 맛있고 따끈따끈 했어요,★★★★★,갈릭반핫양념반＋리얼치즈볼/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
310,마시러ㅛ마ㅤㅅㅣㅋ서요마ㅤㅅㅣㅋ서요,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.4
311,배달도 빠르고 너무 맛있게 먹었습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
312,겉은 바삭바삭 속은 부드러운 촉촉한 거 같아요 배달도 빠르고 좋아요 다음에 또 주문할게요 ,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
313,행사기간이라 오래걸렸지만 따뜻하게 왔어요 잘먹었네요,★★★★★,후라이드반＋핫양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
314,매운맛 적당 간장짭짤하기 적당 맛있습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.59
315, 치킨만 먹다 후기가 좋아 시켜보았는데 너무 바삭하고 바로 배송해주셨나봐요 포장해오는것보다 더 따뜻하네요 감사히 잘 먹고있습니다 사진은 먹다 놀라서 찍은 사진입니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
316,역시 단짠윙봉 대존맛입니다,★★★★★,단짠치킨 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
317,오랜만에 시켜먹었는데도 맛잇네용걔륑,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(양념))","
맛
★
5
양
★
5
배달
★
5
",4.38
318,맛있게 잘 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
319,한결같이 맛있습니다 배달이 빠르면 좋겠어요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(스틱（다리）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
320,맛있게 잘 먹었습니다,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
321,맛은 괜찬은데 배달은 별루였습니다요청사항 에 뻔히  문자 남기라는것  안읽나봐요도데체 구주소 신주소 타령하면서저한테 왜전화 합니까 모르면 맵어플 도 많고  그것도 못하겠으면 배달 하지 말아야죠 점 다할려다가 날도 더운데 그냥 배달만 점 합니다도대체 왜 전화질을 하는지  도무지 이해가 안가네요,★★★★,"단짠치킨 스틱/1(사이드 추가(김말이튀김),소스추가(허니머스타드소스)),콜라 1.25L/1,생맥주 1000cc/1","
맛
★
4
양
★
4
배달
★
1
",1.0
322,항상 맛있게 먹고있어요,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
323,역시 또래오래에요이번에 튀김류는 처음 먹어보는데 분식점보다 더 맛나네요 ,★★★★★,"마왕치킨/1(부위선택 택 1(스틱（다리）),사이드 추가(포테이토치즈볼),소스추가(콘듀디핑소스))","
맛
★
5
양
★
5
배달
★
5
",2.6
324,짱짱 맛나요단짠류 치킨 중에는 제일 입맛에 맞기도 하구떡도 보들보들 해서 딱 좋아욤번창하세요,★★★★★,단짠치킨 콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
325,맛있게 잘 먹었습니다식후감,★★★★★,"두마리 치킨/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(갈릭))","
맛
★
5
양
★
5
배달
★
5
",4.6
326,치킨이 아주 좋음 맛남,★★★★★,"후라이드반＋갈릭반/1(옵션변경(한마리),음료 택 1(콜라 355mL 추가))","
맛
★
5
양
★
5
배달
★
5
",5.0
327,금욜밤이라 배달은 시간 넘게 걸렸어요 글두 차갑게 오진 않아서 잘 먹었네요 후기 보고 주문한건데 후기대로 맛있었어요,★★★★★,"후라이드반＋양념반/1(옵션변경(한마리),사이드 추가(바삭한근위튀김)),생맥주 1000cc/1","
맛
★
5
양
★
5
배달
★
5
",4.39
328,명불허전 믿고 먹는 맛입니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.6
329,바삭바삭고소하게 잘 튀겼어요,★★★★★,"오곡 후라이드 치킨/1(부위선택 택 1(스틱（다리）)),콜라 245mL/1","
맛
★
5
양
★
5
배달
★
5
",5.0
330,역시나 넘나 맛있어영 짱짱,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
331,수준이 전문가 수준입니다,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.2
332,감자튀김도 원하던 식감이고 치킨도 바삭해요 서비스 잘 먹을게요,★★★★★,콘듀치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.02
333,역시 전국 최고 매장이네요 언제나 좋아요,★★★★★,"치킨＋바삭한근위튀김/1(치킨 선택 택 1(후반양반),세트 부위선택 택 1(한마리))","
맛
★
5
양
★
5
배달
★
5
",5.0
334,맛좋고 뜨거울때 배달왔슴다,★★★★★,고추단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
335,믿고 먹는 집입니다 행사기간에도 변함없으셔서 더 좋습니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(스틱（다리）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
336,짭조름하게 맛나게 먹었어요배달도 빠르고 양도 많아서 든든하고 맛있게 먹었습니다,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.39
337,맛있게 먹었습니다,★★★★★,오곡 파닭 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.59
338,오 양 맛 서비스 대만족이예요 굿굿,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
339,진짜 맛있게 먹었습니다,★★★★★,스모키양념 스틱/1(사이드 추가(해쉬브라운（8EA）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
340,맛있게 잘 먹었슴니다,★★★★★,고추단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
341,갈반핫반 올만에 먹었는데 역시 존맛탱이네요맵찔이라 핫양념은 너무 매운데 그래도 정말 맛있네요ㅋㅋ 씁하 씁하 거리면서 다 먹고얼음물고서 리뷰씁니다ㅋ예상시간보다 빨리오고 항상 맛있어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
342,늘 맛있는 치킨 감사해요 국물떡복이도 맛있네요,★★★★★,"양념반＋갈릭반/1(옵션변경(한마리),사이드 추가(국물떡볶이 매운맛))","
맛
★
5
양
★
5
배달
★
5
",4.81
343,예상시간보다 배달이 엄청 빨랐어요,★★★★★,후라이드반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.89
344,치킨잘치는집 그런데  다리살은 아닌건가용 두마리순살은,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(갈릭))","
맛
★
5
양
★
5
배달
★
5
",2.39
345,콘듀는 진짜 언제 먹어도 맛있어요떡볶이도 오랜만에 시켰는데 서비스 해시브라운까지 찍어먹으면 존맛오늘도 맛있게 먹었습니다,★★★★★,콘듀치킨/1(사이드 추가(국물떡볶이 매운맛)),"
맛
★
5
양
★
5
배달
★
5
",5.0
346,늘 믿고 먹습니다,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
347,배달도 빨리오고 좋아요맛있어요,★★★★,오곡 양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
4
양
★
4
배달
★
4
",4.81
348,할인기간이라 좀 오래걸리지만 인근 치킨집중에 이집이 제일 낫네요,★★★★★,고추단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",2.77
349,치킨 뭐 당연히 맛있고 양파도 엄청많이주시고 핫도그 완전 쫄깃쫄깃 너무너무 맛있어요,★★★★★,"치킨＋미니핫도그/1(치킨 선택 택 1(엔젤치킨),세트 부위선택 택 1(순살（다리살）),소스추가(화이트크림소스,맵부심만렙소스))","
맛
★
5
양
★
5
배달
★
5
",5.0
350,맛있어요 딱 정당히 맵고,★★★★★,오곡 핫양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
351,맛있게 잘 먹었습니다,★★★★★,오곡 양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
352,존맛탱입니단 또래오래,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(콤보（날개＋다리）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
353,배달도 빨랐고 맛있습니가,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
354,항상 맛있게 잘먹고있습니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.81
355,먹다가 중간에 찍어서 사진을 제대로 못찍었네요 ㅠㅠ늘 맛있게 잘 먹었습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
356,정말 맛있게 잘 먹었어요 고맙습니다,★★★★★,"치킨＋로제떡볶이 매운맛/1(치킨 선택 택 1(갈반핫반),세트 부위선택 택 1(순살（다리살）),사이드 추가(해쉬브라운（8EA）))","
맛
★
5
양
★
5
배달
★
5
",5.0
357,처음 먹어봤는데 너무 맛있었어요다음에도 시켜 먹을게요,★★★★★,단짠치킨 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
358,퀄리티 좋고 따뜻하게와서 맛있게 먹었습니다,★★★★★,"두마리 치킨/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(핫양념))","
맛
★
5
양
★
5
배달
★
5
",4.8
359,맛있게 잘먹었습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
360,양 많구 양념 넘 맛있었어용 리뷰이벤트 감사해요,★★★★,"후라이드반＋양념반/1(옵션변경(한마리)),콘듀맛소떡/1","
맛
★
5
양
★
4
배달
★
3
",5.0
361,이벤트라서 배달은 조금늦었지만 맛있었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.97
362,치킨은 언제나 먹어도 만족,★★★★★,고추단짠치킨 스틱/1(음료 택 1(콜라 1.25L 추가)),"
맛
★
5
양
★
5
배달
★
5
",4.57
363,식후감맛나요최고,★★★★★,갈릭반＋핫양념반/1(옵션변경(스틱（다리）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
364,배달도 빠르고 맛있어요,★★★★★,고추단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.61
365,어제 중복 기념으로 먹었습니다할인도 받고 저렴한 가격에 맛있게 먹었네요,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.61
366,맛있게 잘먹었어요 ,★★★★★,오곡 갈릭플러스 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
367,맛있게 잘 먹었습니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
368,빠르고 맛있어요진짜 다리살로만 되어 있어서 부드러웠습니다,★★★★★,후라이드반＋갈릭반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
369,굉장히 맛있습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
370,복날이라 바쁘실텐데 배달도 예상시간보다빨리오고 치킨도 뜨겁고 맛있게 잘 먹었습니다감사합니다,★★★★★,스모키양념 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.61
371,치킨을 굉장히 오랜만에 먹는데 역시 또래오래 반반은 실패가 없네요다른것도 먹어보고 싶었지만 그래도 치킨은 양념반 후라이드 반이지 하고 시킨게 정답이었습니다잘먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.6
372,맛있게 잘 먹었습니다 또 주문할게요,★★★★★,양념반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
373,맛있게 잘먹었습니다,★★★★★,단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
374,너무 잘먹었어요 맛있어요,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
375,맛있게 먹었어용,★★★★★,후라이드반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.6
376,이벤트로 저렴하게 맛있게 잘 먹었어요배달도 빠르고 치킨도 완전 뜨끈하게 도착서비스로 주신 콜라로 완전 시원하고 맛있게 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
377,어젠 유독 더맛있었어요잘먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
378,갈반핫반 최고에요 떡사리 서비스 감사합니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(스틱（다리）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
379,마감 전에주문했는데도 배달도빨리도착하고 감사합니다 늘잘먹고잇어요,★★★★★,콘듀치킨/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
380,항상 빠르고 맛있습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.82
381,맛있게 잘 먹었습니다,★★★★★,단짠치킨 윙봉/1(소스추가(핫양념소스)),"
맛
★
5
양
★
5
배달
★
5
",4.8
382,꺄 맛있게 먹었어요 뜨겁고 닭이 신선해요 넘 맛있어요,★★★★★,맵부심후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
383,맛있게 잘 먹었습니다식후감,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.6
384,맛좋아요 다음에 또 주문할게요,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.81
385,배달도 빠르고 양도 많아서 맛있게 먹었습니당서비스로 주신 해쉬브라운도 감사합니당,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
386,맛 서비스 모두 만족합니다 배달도 친절했구요,★★★★★,고추단짠치킨 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.79
387,맛있어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
388,맛있게 잘먹었습니다 ㅎㅎ,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
